Unique Product Identifier (UPC or SKU),Manufacturer,Brand Name,Product Name,Category,Flavor,Date Added to Directory
819979011371,"NJOY, LLC",NJOY,NJOY Ace Device $0.99,Device,N/A,05/01/2025
810687014838,"NJOY, LLC",NJOY,NJOY Ace Pods Classic Tobacco 2.4% 2ct,E-liquid Pod,Classic Tobacco,05/01/2025
819979011395,"NJOY, LLC",NJOY,NJOY Ace Device,Device,N/A,05/01/2025
810687014913,"NJOY, LLC",NJOY,NJOY Ace Pods Classic Tobacco 5% 2ct,E-liquid Pod,Classic Tobacco,05/01/2025
819979011029,"NJOY, LLC",NJOY,NJOY Ace Pods Menthol 2.4% 2ct,E-liquid Pod,Rich Tobacco,05/01/2025
819979012200,"NJOY, LLC",NJOY,NJOY Ace Pod Classic Tobacco 5% 1ct,E-liquid Pod,Classic Tobacco,05/01/2025
810687014937,"NJOY, LLC",NJOY,NJOY Ace Pods Menthol 5% 2ct,E-liquid Pod,Menthol,05/01/2025
810687020860,"NJOY, LLC",NJOY,NJOY Daily Rich Tobacco 4.5%,Disposable,Rich Tobacco,05/01/2025
815368021426,"NJOY, LLC",NJOY,NJOY Daily Extra Rich Tobacco 6%,Disposable,Rich Tobacco,05/01/2025
815368021488,"NJOY, LLC",NJOY,NJOY Daily Extra Menthol 6%,Disposable,Menthol,05/01/2025
810687020884,"NJOY, LLC",NJOY,NJOY Daily Menthol 4.5%,Disposable,Menthol,05/01/2025
810687014852,"NJOY, LLC",NJOY,NJOY Ace Pods Menthol 2.4% 2ct,E-liquid Pod,Menthol,05/01/2025
888861300992,"E-Alternative Solutions, LLC",Leap,Leap Device Kit,Device,N/A,05/01/2025
888861302101,"E-Alternative Solutions, LLC",Leap,Leap Pod Menthol 4.8% Nicotine,E-liquid Pod,Menthol,05/01/2025
888861302026,"E-Alternative Solutions, LLC",Leap,Leap Pod Kentucky Menthol 4.8% Nicotine,E-liquid Pod,Menthol,05/01/2025
888861302194,"E-Alternative Solutions, LLC",Leap,Leap Pod Rough-cut Tobacco 4.8% Nicotine,E-liquid Pod,None,05/01/2025
888861302125,"E-Alternative Solutions, LLC",Leap,Leap Pod Georgia Tobacco 4.8% Nicotine,E-liquid Pod,None,05/01/2025
888861302019,"E-Alternative Solutions, LLC",Leap,Leap Pod Kentucky Tobacco 4.8% Nicotine,E-liquid Pod,None,05/01/2025
888861302064,"E-Alternative Solutions, LLC",Leap,Leap Pod Carolina Tobacco 4.8% Nicotine,E-liquid Pod,None,05/01/2025
888861301111,"E-Alternative Solutions, LLC",Leap,Leap Pod Menthol 2.4% Nicotine,E-liquid Pod,Menthol,05/01/2025
888861301036,"E-Alternative Solutions, LLC",Leap,Leap Pod Kentucky Menthol 2.4% Nicotine,E-liquid Pod,Menthol,05/01/2025
888861301203,"E-Alternative Solutions, LLC",Leap,Leap Pod Rough-cut Tobacco 2.4% Nicotine,E-liquid Pod,None,05/01/2025
888861301135,"E-Alternative Solutions, LLC",Leap,Leap Pod Georgia Tobacco 2.4% Nicotine,E-liquid Pod,None,05/01/2025
888861301029,"E-Alternative Solutions, LLC",Leap,Leap Pod Kentucky Tobacco 2.4% Nicotine,E-liquid Pod,None,05/01/2025
888861301074,"E-Alternative Solutions, LLC",Leap,Leap Pod Carolina Tobacco 2.4% Nicotine,E-liquid Pod,None,05/01/2025
888861306024,"E-Alternative Solutions, LLC",Leap Go,Leap Go Mango 5% Nicotine,Disposable,Mango,05/01/2025
888861306031,"E-Alternative Solutions, LLC",Leap Go,Leap Go Mint 5% Nicotine,Disposable,Mint,05/01/2025
888861306000,"E-Alternative Solutions, LLC",Leap Go,Leap Go Smooth Tobacco 5% Nicotine,Disposable,Tobacco,05/01/2025
840094600935,The Schwartz E Liquid,Naked100,American Patriots 3mg,E-liquid,Tobacco,05/01/2025
840094600942,The Schwartz E Liquid,Naked100,American Patriots 6mg,E-liquid,Tobacco,05/01/2025
840094600959,The Schwartz E Liquid,Naked100,American Patriots 12mg,E-liquid,Tobacco,05/01/2025
840094600997,The Schwartz E Liquid,Naked100,Cuban Blend 3mg,E-liquid,Tobacco,05/01/2025
840094601000,The Schwartz E Liquid,Naked100,Cuban Blend 6mg,E-liquid,Tobacco,04/01/2025
840094601017,The Schwartz E Liquid,Naked100,Cuban Blend 12mg,E-liquid,Tobacco,05/01/2025
840094601031,The Schwartz E Liquid,Naked100,Euro Gold 3mg,E-liquid,Tobacco,05/01/2025
840094600294,The Schwartz E Liquid,Naked100,Really Berry 3mg,E-liquid,Blackberry Blueberry Lemon,05/01/2025
840094600300,The Schwartz E Liquid,Naked100,Really Berry 6mg,E-liquid,Blackberry Blueberry Lemon,05/01/2025
840094600317,The Schwartz E Liquid,Naked100,Really Berry 12mg,E-liquid,Blackberry Blueberry Lemon,05/01/2025
840094600539,The Schwartz E Liquid,Naked100,Berry 3mg,E-liquid,Berry Menthol,05/01/2025
840094600546,The Schwartz E Liquid,Naked100,Berry 6mg,E-liquid,Berry Menthol,05/01/2025
840094600553,The Schwartz E Liquid,Naked100,Berry 12mg,E-liquid,Berry Menthol,05/01/2025
840094601512,The Schwartz E Liquid,Naked100,Crisp Menthol 3mg,E-liquid,Menthol,05/01/2025
840094601529,The Schwartz E Liquid,Naked100,Crisp Menthol 6mg,E-liquid,Menthol,05/01/2025
840094601536,The Schwartz E Liquid,Naked100,Crisp Menthol 12mg,E-liquid,Menthol,05/01/2025
840094600492,The Schwartz E Liquid,Naked100,Melon 3mg,E-liquid,Pineapple Melon Menthol,05/01/2025
840094600508,The Schwartz E Liquid,Naked100,Melon 6mg,E-liquid,Pineapple Melon Menthol,05/01/2025
840094600515,The Schwartz E Liquid,Naked100,Melon 12mg,E-liquid,Pineapple Melon Menthol,05/01/2025
840094600379,The Schwartz E Liquid,Naked100,Strawberry Pom 3mg,E-liquid,Strawberry Kiwi Menthol,05/01/2025
840094600386,The Schwartz E Liquid,Naked100,Strawberry Pom 6mg,E-liquid,Strawberry Kiwi Menthol,05/01/2025
840094600393,The Schwartz E Liquid,Naked100,Strawberry Pom 12mg,E-liquid,Strawberry Kiwi Menthol,05/01/2025
840094601048,The Schwartz E Liquid,Naked100,Euro Gold 6mg,E-liquid,Tobacco,05/01/2025
840094601055,The Schwartz E Liquid,Naked100,Euro Gold 12mg,E-liquid,Tobacco,05/01/2025
840094600133,The Schwartz E Liquid,Naked100,Hawaiian Pog 3mg,E-liquid,Passionfruit Orange Guava,05/01/2025
840094600140,The Schwartz E Liquid,Naked100,Hawaiian Pog 6mg,E-liquid,Passionfruit Orange Guava,05/01/2025
840094600157,The Schwartz E Liquid,Naked100,Hawaiian Pog 12mg,E-liquid,Passionfruit Orange Guava,05/01/2025
840094600171,The Schwartz E Liquid,Naked100,Lava Flow 3mg,E-liquid,Strawberry Pineapple Coco,05/01/2025
840094600188,The Schwartz E Liquid,Naked100,Lava Flow 6mg,E-liquid,Strawberry Pineapple Coco,05/01/2025
840094600195,The Schwartz E Liquid,Naked100,Lava Flow 12mg,E-liquid,Strawberry Pineapple Coco,05/01/2025
704751829216,Fumizer LLC,Twist E-liquid,Pink No. 1 - 3mg/ml,E-liquid,None,05/01/2025
704751829223,Fumizer LLC,Twist E-liquid,Pink No. 1 - 6mg/ml,E-liquid,None,05/01/2025
704751729124,Fumizer LLC,Twist E-liquid,Green No. 1 - 3mg/ml,E-liquid,None,05/01/2025
704751829131,Fumizer LLC,Twist E-liquid,Green No. 1 - 6mg/ml,E-liquid,None,05/01/2025
704751829094,Fumizer LLC,Twist E-liquid,Blend No. 1 - 3mg/ml,E-liquid,None,05/01/2025
704751829100,Fumizer LLC,Twist E-liquid,Blend No. 1 - 6mg/ml,E-liquid,None,05/01/2025
704751829278,Fumizer LLC,Twist E-liquid,Red No. 1 - 3mg/ml,E-liquid,None,05/01/2025
704751829261,Fumizer LLC,Twist E-liquid,Red No. 1 - 6mg/ml,E-liquid,None,05/01/2025
704751829360,Fumizer LLC,Twist E-liquid,Pink 0° - 3mg/ml,E-liquid,None,05/01/2025
704751829377,Fumizer LLC,Twist E-liquid,Pink 0° - 6mg/ml,E-liquid,None,05/01/2025
13415353104,Fumizer LLC,Twist E-liquid,Purple No. 1 - 3mg/ml,E-liquid,None,05/01/2025
13415353111,Fumizer LLC,Twist E-liquid,Purple No. 1 - 6mg/ml,E-liquid,None,05/01/2025
704751829247,Fumizer LLC,Twist E-liquid,Crimson No. 1- 3mg/ml,E-liquid,None,05/01/2025
704751829254,Fumizer LLC,Twist E-liquid,Crimson No. 1 - 6mg/ml,E-liquid,None,05/01/2025
13415358284,Fumizer LLC,Twist E-liquid,Menthol No. 1 - 3mg/ml,E-liquid,Menthol,05/01/2025
13415358291,Fumizer LLC,Twist E-liquid,Menthol No. 1 - 6mg/ml,E-liquid,Menthol,05/01/2025
13415358307,Fumizer LLC,Twist E-liquid,Menthol No. 1 - 12mg/ml,E-liquid,Menthol,05/01/2025
