Legal Name,DBA,Product Name,SKU,Package UPC,Units per Package,mL per Unit,Product Category,Characterizing Flavor,Date Added to Directory
7 Daze LLC,7 Daze LLC,Reds Apple ICED - 100ml - 3mg,Reds Apple ICED - 100ml - 3mg,649964672108,1,100,E-liquid,Apple,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Apple ICED - 100ml - 6mg,Reds Apple ICED - 100ml - 6mg,649964672115,1,100,E-liquid,Apple,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Berries ICED - 100ml - 3mg,Reds Berries ICED - 100ml - 3mg,649964673587,1,100,E-liquid,Berries,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Berries ICED - 100ml - 6mg,Reds Berries ICED - 100ml - 6mg,649964673594,1,100,E-liquid,Berries,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Grape ICED - 100ml - 3mg,Reds Grape ICED - 100ml - 3mg,649964672306,1,100,E-liquid,Grape,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Grape ICED - 100ml - 6mg,Reds Grape ICED - 100ml - 6mg,649964672313,1,100,E-liquid,Grape,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Watermelon ICED - 100ml - 3mg,Reds Watermelon ICED - 100ml - 3mg,649964673266,1,100,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Reds Watermelon ICED - 100ml - 6mg,Reds Watermelon ICED - 100ml - 6mg,649964673273,1,100,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Salt - Reds Watermelon ICED - 30ml - 30mg,Salt - Reds Watermelon ICED - 30ml - 30mg,753275930915,1,30,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Salt - Reds Watermelon ICED - 30ml - 50mg,Salt - Reds Watermelon ICED - 30ml - 50mg,753275930922,1,30,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Blue Razz - 30ml - 20mg,Liqmate - Blue Razz - 30ml - 20mg,716203269440,1,30,E-liquid,Blueberry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Blue Razz - 30ml - 50mg,Liqmate - Blue Razz - 30ml - 50mg,716203269648,1,30,E-liquid,Blueberry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Bomb Pop - 30ml - 20mg,Liqmate - Bomb Pop - 30ml - 20mg,716203269655,1,30,E-liquid,Cherry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Bomb Pop - 30ml - 50mg,Liqmate - Bomb Pop - 30ml - 50mg,716203269457,1,30,E-liquid,Cherry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Georgia Peach - 30ml - 20mg,Liqmate - Georgia Peach - 30ml - 20mg,716203269808,1,30,E-liquid,Peach,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Georgia Peach - 30ml - 50mg,Liqmate - Georgia Peach - 30ml - 50mg,716203269600,1,30,E-liquid,Peach,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Icy Bites - 30ml - 20mg,Liqmate - Icy Bites - 30ml - 20mg,716203269723,1,30,E-liquid,Mint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Icy Bites - 30ml - 50mg,Liqmate - Icy Bites - 30ml - 50mg,716203269525,1,30,E-liquid,Mint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Lush Ice - 30ml - 50mg,Liqmate - Lush Ice - 30ml - 50mg,716203269792,1,30,E-liquid,Mint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Lush Ice - 30ml - 20mg,Liqmate - Lush Ice - 30ml - 20mg,716203269594,1,30,E-liquid,Mint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Mango Madness - 30ml - 20mg,Liqmate - Mango Madness - 30ml - 20mg,716203269679,1,30,E-liquid,Mango,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Mango Madness - 30ml - 50mg,Liqmate - Mango Madness - 30ml - 50mg,716203269471,1,30,E-liquid,Mango,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Sour Rainbow Berries - 30ml - 20mg,Liqmate - Sour Rainbow Berries - 30ml - 20mg,716203269754,1,30,E-liquid,Cherry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Sour Rainbow Berries - 30ml - 50mg,Liqmate - Sour Rainbow Berries - 30ml - 50mg,716203269556,1,30,E-liquid,Cherry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Speamint Blast - 30ml - 20mg,Liqmate - Speamint Blast - 30ml - 20mg,716203269761,1,30,E-liquid,Spearmint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Speamint Blast - 30ml - 50mg,Liqmate - Speamint Blast - 30ml - 50mg,716203269763,1,30,E-liquid,Spearmint,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Strawberry Fluff - 30ml - 20mg,Liqmate - Strawberry Fluff - 30ml - 20mg,716203269570,1,30,E-liquid,Strawberry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Strawberry Fluff - 30ml - 50mg,Liqmate - Strawberry Fluff - 30ml - 50mg,716203269778,1,30,E-liquid,Strawberry,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Strawberry Watermelon - 30ml - 20mg,Liqmate - Strawberry Watermelon - 30ml - 20mg,716203269785,1,30,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Liqmate - Strawberry Watermelon - 30ml - 50mg,Liqmate - Strawberry Watermelon - 30ml - 50mg,716203269587,1,30,E-liquid,Watermelon,2025-12-18
7 Daze LLC,7 Daze LLC,Rinn Bar - Blue Razz B-Pop,Rinn Bar - Blue Razz B-Pop,716203278473,1,18,Disposable e-cigarette device,Blueberry,2025-12-18
7 Daze LLC,7 Daze LLC,Rinn Bar - Cola Slush,Rinn Bar - Cola Slush,716203278534,1,18,Disposable e-cigarette device,Cola,2025-12-18
7 Daze LLC,7 Daze LLC,Rinn Bar - Cool Mint,Rinn Bar - Cool Mint,716203278411,1,18,Disposable e-cigarette device,Mint,2025-12-18
